sale_date,units_sold
2022-06-04,7
2022-06-05,32
2022-06-06,18
2022-06-07,25
2022-06-08,31
2022-06-09,19
2022-06-10,22
2022-06-11,41
2022-06-12,14
2022-06-13,20
2022-06-14,22
2022-06-15,19
2022-06-16,22
2022-06-17,21
2022-06-18,14
2022-06-19,57
2022-06-20,8
2022-06-21,31
2022-06-22,11
2022-06-23,11
2022-06-24,18
2022-06-25,34
2022-06-26,11
2022-06-27,17
2022-06-28,31
2022-06-29,24
2022-06-30,24
2022-07-01,43
2022-07-02,20
2022-07-03,14
2022-07-04,19
2022-07-05,19
2022-07-06,21
2022-07-07,33
2022-07-08,17
2022-07-09,10
2022-07-10,25
2022-07-11,20
2022-07-12,16
2022-07-13,17
2022-07-14,8
2022-07-15,23
2022-07-16,22
2022-07-17,11
2022-07-18,21
2022-07-19,33
2022-07-20,25
2022-07-21,14
2022-07-22,8
2022-07-23,15
2022-07-24,26
2022-07-25,26
2022-07-26,18
2022-07-27,6
2022-07-28,29
2022-07-29,19
2022-07-30,20
2022-07-31,41
2022-08-01,15
2022-08-02,21
2022-08-03,25
2022-08-04,32
2022-08-05,27
2022-08-06,20
2022-08-07,15
2022-08-08,16
2022-08-09,22
2022-08-10,33
2022-08-11,32
2022-08-12,22
2022-08-13,23
2022-08-14,27
2022-08-15,28
2022-08-16,14
2022-08-17,23
2022-08-18,19
2022-08-19,17
2022-08-20,14
2022-08-21,19
2022-08-22,30
2022-08-23,12
2022-08-24,15
2022-08-25,32
2022-08-26,11
2022-08-27,35
2022-08-28,22
2022-08-29,9
2022-08-30,26
2022-08-31,17
2022-09-01,25
2022-09-02,26
2022-09-03,21
2022-09-04,18
2022-09-05,14
2022-09-06,24
2022-09-07,30
2022-09-08,26
2022-09-09,20
2022-09-10,23
2022-09-11,14
2022-09-12,18
2022-09-13,14
2022-09-14,16
2022-09-15,20
2022-09-16,28
2022-09-17,35
2022-09-18,25
2022-09-19,29
2022-09-20,13
2022-09-21,17
2022-09-22,9
2022-09-23,25
2022-09-24,13
2022-09-25,23
2022-09-26,22
2022-09-27,22
2022-09-28,32
2022-09-29,26
2022-09-30,14
2022-10-01,19
2022-10-02,18
2022-10-03,24
2022-10-04,5
2022-10-05,23
2022-10-06,25
2022-10-07,23
2022-10-08,5
2022-10-09,24
2022-10-10,33
2022-10-11,16
2022-10-12,15
2022-10-13,22
2022-10-14,17
2022-10-15,23
2022-10-16,23
2022-10-17,21
2022-10-18,25
2022-10-19,35
2022-10-20,30
2022-10-21,35
2022-10-22,7
2022-10-23,16
2022-10-24,24
2022-10-25,28
2022-10-26,23
2022-10-27,6
2022-10-28,18
2022-10-29,11
2022-10-30,42
2022-10-31,13
2022-11-01,16
2022-11-02,35
2022-11-03,17
2022-11-04,10
2022-11-05,23
2022-11-06,21
2022-11-07,31
2022-11-08,20
2022-11-09,18
2022-11-10,21
2022-11-11,21
2022-11-12,20
2022-11-13,28
2022-11-14,19
2022-11-15,10
2022-11-16,26
2022-11-17,24
2022-11-18,19
2022-11-19,19
2022-11-20,26
2022-11-21,20
2022-11-22,16
2022-11-23,20
2022-11-24,29
2022-11-25,19
2022-11-26,17
2022-11-27,26
2022-11-28,27
2022-11-29,17
2022-11-30,20
2022-12-01,11
2022-12-02,21
2022-12-03,23
2022-12-04,24
2022-12-05,16
2022-12-06,36
2022-12-07,19
2022-12-08,39
2022-12-09,18
2022-12-10,26
2022-12-11,25
2022-12-12,17
2022-12-13,15
2022-12-14,19
2022-12-15,19
2022-12-16,29
2022-12-17,12
2022-12-18,19
2022-12-19,21
2022-12-20,22
2022-12-21,34
2022-12-22,29
2022-12-23,33
2022-12-24,23
2022-12-25,18
2022-12-26,14
2022-12-27,18
2022-12-28,12
2022-12-29,23
2022-12-30,44
2022-12-31,25
2023-01-01,21
2023-01-02,39
2023-01-03,20
2023-01-04,11
2023-01-05,13
2023-01-06,24
2023-01-07,22
2023-01-08,29
2023-01-09,15
2023-01-10,31
2023-01-11,24
2023-01-12,24
2023-01-13,6
2023-01-14,27
2023-01-15,25
2023-01-16,16
2023-01-17,29
2023-01-18,8
2023-01-19,31
2023-01-20,17
2023-01-21,23
2023-01-22,9
2023-01-23,19
2023-01-24,20
2023-01-25,24
2023-01-26,6
2023-01-27,28
2023-01-28,30
2023-01-29,19
2023-01-30,14
2023-01-31,22
2023-02-01,15
2023-02-02,24
2023-02-03,26
2023-02-04,13
2023-02-05,20
2023-02-06,44
2023-02-07,17
2023-02-08,19
2023-02-09,15
2023-02-10,19
2023-02-11,20
2023-02-12,13
2023-02-13,23
2023-02-14,13
2023-02-15,12
2023-02-16,26
2023-02-17,15
2023-02-18,18
2023-02-19,21
2023-02-20,15
2023-02-21,26
2023-02-22,23
2023-02-23,27
2023-02-24,30
2023-02-25,11
2023-02-26,18
2023-02-27,25
2023-02-28,24
2023-03-01,13
2023-03-02,27
2023-03-03,28
2023-03-04,21
2023-03-05,18
2023-03-06,21
2023-03-07,30
2023-03-08,31
2023-03-09,22
2023-03-10,11
2023-03-11,29
2023-03-12,23
2023-03-13,22
2023-03-14,42
2023-03-15,19
2023-03-16,16
2023-03-17,23
2023-03-18,19
2023-03-19,13
2023-03-20,31
2023-03-21,28
2023-03-22,26
2023-03-23,6
2023-03-24,17
2023-03-25,43
2023-03-26,16
2023-03-27,31
2023-03-28,15
2023-03-29,20
2023-03-30,28
2023-03-31,30
2023-04-01,20
2023-04-02,33
2023-04-03,25
2023-04-04,36
2023-04-05,30
2023-04-06,38
2023-04-07,22
2023-04-08,21
2023-04-09,17
2023-04-10,15
2023-04-11,21
2023-04-12,15
2023-04-13,7
2023-04-14,20
2023-04-15,25
2023-04-16,12
2023-04-17,31
2023-04-18,31
2023-04-19,15
2023-04-20,12
2023-04-21,28
2023-04-22,28
2023-04-23,16
2023-04-24,12
2023-04-25,9
2023-04-26,24
2023-04-27,22
2023-04-28,11
2023-04-29,12
2023-04-30,34
2023-05-01,18
2023-05-02,22
2023-05-03,16
2023-05-04,18
2023-05-05,8
2023-05-06,10
2023-05-07,8
2023-05-08,26
2023-05-09,18
2023-05-10,23
2023-05-11,15
2023-05-12,19
2023-05-13,27
2023-05-14,9
2023-05-15,31
2023-05-16,10
2023-05-17,25
2023-05-18,9
2023-05-19,9
2023-05-20,33
2023-05-21,10
2023-05-22,15
2023-05-23,22
2023-05-24,22
2023-05-25,11
2023-05-26,28
2023-05-27,22
2023-05-28,42
2023-05-29,34
2023-05-30,18
2023-05-31,20
2023-06-01,23
2023-06-02,29
2023-06-03,10
2023-06-04,10
2023-06-05,10
2023-06-06,19
2023-06-07,15
2023-06-08,25
2023-06-09,12
2023-06-10,28
2023-06-11,12
2023-06-12,18
2023-06-13,35
2023-06-14,26
2023-06-15,13
2023-06-16,27
2023-06-17,23
2023-06-18,12
2023-06-19,24
2023-06-20,21
2023-06-21,21
2023-06-22,15
2023-06-23,30
2023-06-24,25
2023-06-25,33
2023-06-26,7
2023-06-27,25
2023-06-28,28
2023-06-29,4
2023-06-30,20
2023-07-01,8
2023-07-02,21
2023-07-03,32
2023-07-04,31
2023-07-05,10
2023-07-06,34
2023-07-07,28
2023-07-08,25
2023-07-09,12
2023-07-10,7
2023-07-11,14
2023-07-12,24
2023-07-13,17
2023-07-14,29
2023-07-15,16
2023-07-16,14
2023-07-17,23
2023-07-18,18
2023-07-19,17
2023-07-20,30
2023-07-21,21
2023-07-22,13
2023-07-23,33
2023-07-24,21
2023-07-25,15
2023-07-26,17
2023-07-27,33
2023-07-28,36
2023-07-29,13
2023-07-30,16
2023-07-31,18
2023-08-01,14
2023-08-02,22
2023-08-03,39
2023-08-04,20
2023-08-05,20
2023-08-06,21
2023-08-07,16
2023-08-08,17
2023-08-09,5
2023-08-10,29
2023-08-11,25
2023-08-12,13
2023-08-13,33
2023-08-14,12
2023-08-15,14
2023-08-16,25
2023-08-17,16
2023-08-18,12
2023-08-19,24
2023-08-20,27
2023-08-21,12
2023-08-22,12
2023-08-23,13
2023-08-24,4
2023-08-25,15
2023-08-26,23
2023-08-27,15
2023-08-28,9
2023-08-29,28
2023-08-30,15
2023-08-31,18
2023-09-01,34
2023-09-02,14
2023-09-03,19
2023-09-04,35
2023-09-05,14
2023-09-06,17
2023-09-07,29
2023-09-08,32
2023-09-09,14
2023-09-10,13
2023-09-11,11
2023-09-12,12
2023-09-13,28
2023-09-14,27
2023-09-15,22
2023-09-16,10
2023-09-17,33
2023-09-18,23
2023-09-19,27
2023-09-20,30
2023-09-21,9
2023-09-22,19
2023-09-23,17
2023-09-24,15
2023-09-25,30
2023-09-26,37
2023-09-27,23
2023-09-28,21
2023-09-29,30
2023-09-30,20
2023-10-01,18
2023-10-02,23
2023-10-03,12
2023-10-04,16
2023-10-05,18
2023-10-06,21
2023-10-07,7
2023-10-08,7
2023-10-09,15
2023-10-10,30
2023-10-11,32
2023-10-12,25
2023-10-13,23
2023-10-14,29
2023-10-15,17
2023-10-16,19
2023-10-17,21
2023-10-18,11
2023-10-19,7
2023-10-20,38
2023-10-21,33
2023-10-22,16
2023-10-23,23
2023-10-24,19
2023-10-25,19
2023-10-26,22
2023-10-27,27
2023-10-28,22
2023-10-29,26
2023-10-30,25
2023-10-31,25
2023-11-01,9
2023-11-02,27
2023-11-03,27
2023-11-04,9
2023-11-05,25
2023-11-06,16
2023-11-07,16
2023-11-08,13
2023-11-09,22
2023-11-10,27
2023-11-11,41
2023-11-12,35
2023-11-13,15
2023-11-14,10
2023-11-15,23
2023-11-16,23
2023-11-17,23
2023-11-18,16
2023-11-19,22
2023-11-20,20
2023-11-21,23
2023-11-22,13
2023-11-23,10
2023-11-24,36
2023-11-25,9
2023-11-26,18
2023-11-27,22
2023-11-28,16
2023-11-29,10
2023-11-30,22
2023-12-01,18
2023-12-02,14
2023-12-03,9
2023-12-04,28
2023-12-05,21
2023-12-06,17
2023-12-07,14
2023-12-08,16
2023-12-09,24
2023-12-10,19
2023-12-11,33
2023-12-12,21
2023-12-13,14
2023-12-14,8
2023-12-15,25
2023-12-16,13
2023-12-17,25
2023-12-18,30
2023-12-19,27
2023-12-20,37
2023-12-21,13
2023-12-22,24
2023-12-23,16
2023-12-24,20
2023-12-25,16
2023-12-26,21
2023-12-27,17
2023-12-28,20
2023-12-29,25
2023-12-30,25
2023-12-31,20
2024-01-01,25
2024-01-02,22
2024-01-03,21
2024-01-04,31
2024-01-05,24
2024-01-06,16
2024-01-07,10
2024-01-08,25
2024-01-09,8
2024-01-10,23
2024-01-11,15
2024-01-12,30
2024-01-13,19
2024-01-14,13
2024-01-15,14
2024-01-16,28
2024-01-17,18
2024-01-18,26
2024-01-19,17
2024-01-20,25
2024-01-21,18
2024-01-22,23
2024-01-23,15
2024-01-24,25
2024-01-25,26
2024-01-26,28
2024-01-27,20
2024-01-28,6
2024-01-29,20
2024-01-30,26
2024-01-31,33
2024-02-01,27
2024-02-02,20
2024-02-03,21
2024-02-04,13
2024-02-05,18
2024-02-06,28
2024-02-07,13
2024-02-08,15
2024-02-09,22
2024-02-10,26
2024-02-11,18
2024-02-12,20
2024-02-13,17
2024-02-14,25
2024-02-15,35
2024-02-16,25
2024-02-17,27
2024-02-18,9
2024-02-19,14
2024-02-20,28
2024-02-21,21
2024-02-22,23
2024-02-23,15
2024-02-24,25
2024-02-25,28
2024-02-26,15
2024-02-27,21
2024-02-28,22
2024-02-29,20
2024-03-01,22
2024-03-02,28
2024-03-03,24
2024-03-04,26
2024-03-05,32
2024-03-06,26
2024-03-07,35
2024-03-08,20
2024-03-09,25
2024-03-10,26
2024-03-11,33
2024-03-12,36
2024-03-13,5
2024-03-14,14
2024-03-15,10
2024-03-16,24
2024-03-17,20
2024-03-18,29
2024-03-19,30
2024-03-20,9
2024-03-21,25
2024-03-22,34
2024-03-23,27
2024-03-24,38
2024-03-25,35
2024-03-26,32
2024-03-27,12
2024-03-28,31
2024-03-29,24
2024-03-30,20
2024-03-31,31
2024-04-01,18
2024-04-02,23
2024-04-03,22
2024-04-04,13
2024-04-05,22
2024-04-06,8
2024-04-07,23
2024-04-08,29
2024-04-09,29
2024-04-10,27
2024-04-11,11
2024-04-12,49
2024-04-13,17
2024-04-14,9
2024-04-15,31
2024-04-16,14
2024-04-17,17
2024-04-18,7
2024-04-19,11
2024-04-20,19
2024-04-21,21
2024-04-22,12
2024-04-23,40
2024-04-24,18
2024-04-25,19
2024-04-26,17
2024-04-27,36
2024-04-28,15
2024-04-29,12
2024-04-30,25
2024-05-01,14
2024-05-02,24
2024-05-03,27
2024-05-04,12
2024-05-05,19
2024-05-06,9
2024-05-07,9
2024-05-08,16
2024-05-09,25
2024-05-10,29
2024-05-11,20
2024-05-12,26
2024-05-13,28
2024-05-14,17
2024-05-15,20
2024-05-16,11
2024-05-17,15
2024-05-18,25
2024-05-19,34
2024-05-20,11
2024-05-21,18
2024-05-22,14
2024-05-23,29
2024-05-24,22
2024-05-25,14
2024-05-26,45
2024-05-27,27
2024-05-28,16
2024-05-29,21
2024-05-30,18
2024-05-31,14
2024-06-01,12
2024-06-02,25
2024-06-03,30
2024-06-04,28
2024-06-05,9
2024-06-06,23
2024-06-07,14
2024-06-08,21
2024-06-09,21
2024-06-10,27
2024-06-11,22
2024-06-12,15
2024-06-13,27
2024-06-14,17
2024-06-15,29
2024-06-16,22
2024-06-17,28
2024-06-18,27
2024-06-19,26
2024-06-20,23
2024-06-21,24
2024-06-22,2
2024-06-23,24
2024-06-24,25
2024-06-25,29
2024-06-26,40
2024-06-27,18
2024-06-28,22
2024-06-29,12
2024-06-30,33
2024-07-01,16
2024-07-02,13
2024-07-03,25
2024-07-04,36
2024-07-05,20
2024-07-06,26
2024-07-07,21
2024-07-08,24
2024-07-09,23
2024-07-10,24
2024-07-11,11
2024-07-12,13
2024-07-13,3
2024-07-14,18
2024-07-15,26
2024-07-16,23
2024-07-17,24
2024-07-18,34
2024-07-19,23
2024-07-20,13
2024-07-21,22
2024-07-22,15
2024-07-23,22
2024-07-24,29
2024-07-25,19
2024-07-26,29
2024-07-27,8
2024-07-28,15
2024-07-29,26
2024-07-30,26
2024-07-31,27
2024-08-01,18
2024-08-02,16
2024-08-03,17
2024-08-04,25
2024-08-05,7
2024-08-06,29
2024-08-07,10
2024-08-08,32
2024-08-09,19
2024-08-10,12
2024-08-11,19
2024-08-12,10
2024-08-13,37
2024-08-14,14
2024-08-15,30
2024-08-16,23
2024-08-17,23
2024-08-18,24
2024-08-19,16
2024-08-20,27
2024-08-21,18
2024-08-22,32
2024-08-23,12
2024-08-24,15
2024-08-25,33
2024-08-26,27
2024-08-27,14
2024-08-28,20
2024-08-29,36
2024-08-30,25
2024-08-31,24
2024-09-01,20
2024-09-02,26
2024-09-03,27
2024-09-04,20
2024-09-05,16
2024-09-06,30
2024-09-07,21
2024-09-08,12
2024-09-09,13
2024-09-10,29
2024-09-11,7
2024-09-12,21
2024-09-13,24
2024-09-14,22
2024-09-15,11
2024-09-16,16
2024-09-17,20
2024-09-18,19
2024-09-19,18
2024-09-20,35
2024-09-21,25
2024-09-22,17
2024-09-23,7
2024-09-24,15
2024-09-25,18
2024-09-26,20
2024-09-27,19
2024-09-28,15
2024-09-29,34
2024-09-30,32
2024-10-01,40
2024-10-02,21
2024-10-03,24
2024-10-04,23
2024-10-05,41
2024-10-06,37
2024-10-07,20
2024-10-08,34
2024-10-09,19
2024-10-10,12
2024-10-11,8
2024-10-12,18
2024-10-13,29
2024-10-14,25
2024-10-15,21
2024-10-16,21
2024-10-17,22
2024-10-18,24
2024-10-19,30
2024-10-20,24
2024-10-21,17
2024-10-22,32
2024-10-23,25
2024-10-24,23
2024-10-25,9
2024-10-26,19
2024-10-27,30
2024-10-28,18
2024-10-29,20
2024-10-30,16
2024-10-31,29
2024-11-01,27
2024-11-02,17
2024-11-03,28
2024-11-04,35
2024-11-05,30
2024-11-06,41
2024-11-07,19
2024-11-08,23
2024-11-09,18
2024-11-10,23
2024-11-11,20
2024-11-12,13
2024-11-13,14
2024-11-14,31
2024-11-15,32
2024-11-16,11
2024-11-17,32
2024-11-18,24
2024-11-19,13
2024-11-20,10
2024-11-21,29
2024-11-22,16
2024-11-23,29
2024-11-24,11
2024-11-25,20
2024-11-26,12
2024-11-27,39
2024-11-28,16
2024-11-29,19
2024-11-30,16
2024-12-01,27
2024-12-02,35
2024-12-03,18
2024-12-04,18
2024-12-05,32
2024-12-06,14
2024-12-07,17
2024-12-08,20
2024-12-09,33
2024-12-10,26
2024-12-11,16
2024-12-12,14
2024-12-13,14
2024-12-14,20
2024-12-15,20
2024-12-16,17
2024-12-17,17
2024-12-18,18
2024-12-19,13
2024-12-20,17
2024-12-21,20
2024-12-22,23
2024-12-23,16
2024-12-24,18
2024-12-25,14
2024-12-26,19
2024-12-27,31
2024-12-28,15
2024-12-29,5
2024-12-30,22
2024-12-31,21
